artist_name,edition_number,year,artist_nationality,artist_nationality_other,artist_gender,artist_race,artist_ethnicity,book,space_ratio_per_page_total,artist_unique_id,moma_count_to_year,whitney_count_to_year,artist_race_nwi
Auguste Renoir,3,1948,French,French,Male,White,Not Hispanic or Latino origin,Gardner,0.670695193,43,0,0,White
Auguste Renoir,4,1959,French,French,Male,White,Not Hispanic or Latino origin,Gardner,0.64567735,43,1,0,White
Auguste Renoir,5,1970,French,French,Male,White,Not Hispanic or Latino origin,Gardner,0.891691127,43,1,0,White
Auguste Renoir,6,1975,French,French,Male,White,Not Hispanic or Latino origin,Gardner,0.887917958,43,1,0,White
Auguste Renoir,7,1980,French,French,Male,White,Not Hispanic or Latino origin,Gardner,0.575499578,43,1,0,White
Auguste Renoir,8,1986,French,French,Male,White,Not Hispanic or Latino origin,Gardner,0.594305066,43,1,0,White
Auguste Renoir,9,1991,French,French,Male,White,Not Hispanic or Latino origin,Gardner,0.357664234,43,1,0,White
Auguste Renoir,10,1996,French,French,Male,White,Not Hispanic or Latino origin,Gardner,0.602128168,43,1,0,White
Auguste Renoir,11,2001,French,French,Male,White,Not Hispanic or Latino origin,Gardner,0.467391946,43,1,0,White
Auguste Renoir,12,2005,French,French,Male,White,Not Hispanic or Latino origin,Gardner,0.475549676,43,1,0,White
Auguste Renoir,13,2009,French,French,Male,White,Not Hispanic or Latino origin,Gardner,0.414805911,43,1,0,White
Auguste Renoir,14,2013,French,French,Male,White,Not Hispanic or Latino origin,Gardner,0.541506788,43,1,0,White
Auguste Renoir,15,2016,French,French,Male,White,Not Hispanic or Latino origin,Gardner,0.768903665,43,1,0,White
Auguste Renoir,16,2020,French,French,Male,White,Not Hispanic or Latino origin,Gardner,0.585649853,43,1,0,White
Barbara Kruger,9,1991,American,American,Female,White,Not Hispanic or Latino origin,Gardner,0.404184915,45,2,4,White
Barbara Kruger,10,1996,American,American,Female,White,Not Hispanic or Latino origin,Gardner,0.361652058,45,2,4,White
Barbara Kruger,11,2001,American,American,Female,White,Not Hispanic or Latino origin,Gardner,0.33248701,45,2,5,White
Barbara Kruger,12,2005,American,American,Female,White,Not Hispanic or Latino origin,Gardner,0.28262324,45,2,6,White
Barbara Kruger,13,2009,American,American,Female,White,Not Hispanic or Latino origin,Gardner,0.322453886,45,2,8,White
Barbara Kruger,14,2013,American,American,Female,White,Not Hispanic or Latino origin,Gardner,0.39840969,45,2,11,White
Barbara Kruger,15,2016,American,American,Female,White,Not Hispanic or Latino origin,Gardner,0.432472553,45,2,11,White
Barbara Kruger,16,2020,American,American,Female,White,Not Hispanic or Latino origin,Gardner,0.436027246,45,2,12,White
Barnett Newman,7,1980,American,American,Male,White,Not Hispanic or Latino origin,Gardner,0.528989586,46,2,7,White
Barnett Newman,8,1986,American,American,Male,White,Not Hispanic or Latino origin,Gardner,0.426757205,46,2,7,White
Barnett Newman,9,1991,American,American,Male,White,Not Hispanic or Latino origin,Gardner,0.364282238,46,2,7,White
Barnett Newman,10,1996,American,American,Male,White,Not Hispanic or Latino origin,Gardner,0.399969305,46,2,7,White
Barnett Newman,11,2001,American,American,Male,White,Not Hispanic or Latino origin,Gardner,0.355322981,46,2,7,White
Barnett Newman,12,2005,American,American,Male,White,Not Hispanic or Latino origin,Gardner,0.249977192,46,2,10,White
Barnett Newman,13,2009,American,American,Male,White,Not Hispanic or Latino origin,Gardner,0.394788344,46,2,13,White
Barnett Newman,14,2013,American,American,Male,White,Not Hispanic or Latino origin,Gardner,0.396221472,46,2,15,White
Barnett Newman,15,2016,American,American,Male,White,Not Hispanic or Latino origin,Gardner,0.417504252,46,2,17,White
Barnett Newman,16,2020,American,American,Male,White,Not Hispanic or Latino origin,Gardner,0.414687653,46,2,18,White
Ben Shahn,4,1959,American,American,Male,White,Not Hispanic or Latino origin,Gardner,0.456504175,48,3,22,White
Ben Shahn,5,1970,American,American,Male,White,Not Hispanic or Latino origin,Gardner,0.284161112,48,4,29,White
Ben Shahn,6,1975,American,American,Male,White,Not Hispanic or Latino origin,Gardner,0.301057579,48,4,29,White
Ben Shahn,7,1980,American,American,Male,White,Not Hispanic or Latino origin,Gardner,0.33035463,48,4,29,White
Ben Shahn,8,1986,American,American,Male,White,Not Hispanic or Latino origin,Gardner,0.320340037,48,4,29,White
Ben Shahn,9,1991,American,American,Male,White,Not Hispanic or Latino origin,Gardner,0.495961071,48,4,29,White
Ben Shahn,10,1996,American,American,Male,White,Not Hispanic or Latino origin,Gardner,0.487295795,48,4,29,White
Benjamin West,7,1980,American,American,Male,White,Not Hispanic or Latino origin,Gardner,0.391570504,49,0,0,White
Benjamin West,8,1986,American,American,Male,White,Not Hispanic or Latino origin,Gardner,0.344443293,49,0,0,White
Benjamin West,9,1991,American,American,Male,White,Not Hispanic or Latino origin,Gardner,0.427347932,49,0,0,White
Benjamin West,10,1996,American,American,Male,White,Not Hispanic or Latino origin,Gardner,0.610620375,49,0,0,White
Benjamin West,11,2001,American,American,Male,White,Not Hispanic or Latino origin,Gardner,0.537877893,49,0,0,White
Benjamin West,12,2005,American,American,Male,White,Not Hispanic or Latino origin,Gardner,0.455737007,49,0,0,White
Benjamin West,13,2009,American,American,Male,White,Not Hispanic or Latino origin,Gardner,0.386559413,49,0,0,White
Benjamin West,14,2013,American,American,Male,White,Not Hispanic or Latino origin,Gardner,0.434746429,49,0,0,White
Benjamin West,15,2016,American,American,Male,White,Not Hispanic or Latino origin,Gardner,0.392902428,49,0,0,White
Benjamin West,16,2020,American,American,Male,White,Not Hispanic or Latino origin,Gardner,0.403519269,49,0,0,White
Bernard Buffet,10,1996,French,French,Male,White,Not Hispanic or Latino origin,Gardner,0.26939736,51,2,0,White
Berthe Morisot,10,1996,French,French,Female,White,Not Hispanic or Latino origin,Gardner,0.474182327,52,0,0,White
Berthe Morisot,11,2001,French,French,Female,White,Not Hispanic or Latino origin,Gardner,0.366674539,52,0,0,White
Berthe Morisot,12,2005,French,French,Female,White,Not Hispanic or Latino origin,Gardner,0.479655141,52,0,0,White
Berthe Morisot,13,2009,French,French,Female,White,Not Hispanic or Latino origin,Gardner,0.395358513,52,0,0,White
Berthe Morisot,14,2013,French,French,Female,White,Not Hispanic or Latino origin,Gardner,0.376265545,52,0,0,White
Berthe Morisot,15,2016,French,French,Female,White,Not Hispanic or Latino origin,Gardner,0.396505335,52,0,0,White
Berthe Morisot,16,2020,French,French,Female,White,Not Hispanic or Latino origin,Gardner,0.408950049,52,0,0,White
Boris Maluev,8,1986,Russian,Other,Male,White,Not Hispanic or Latino origin,Gardner,0.329808556,54,0,0,White
Bridget Riley,5,1970,British,British,Female,White,Not Hispanic or Latino origin,Gardner,0.336911486,56,0,0,White
Bridget Riley,6,1975,British,British,Female,White,Not Hispanic or Latino origin,Gardner,0.370045935,56,0,0,White
Bridget Riley,7,1980,British,British,Female,White,Not Hispanic or Latino origin,Gardner,0.321383338,56,0,0,White
Bridget Riley,8,1986,British,British,Female,White,Not Hispanic or Latino origin,Gardner,0.234224895,56,0,0,White
Bridget Riley,10,1996,British,British,Female,White,Not Hispanic or Latino origin,Gardner,0.214931278,56,0,0,White
Bridget Riley,14,2013,British,British,Female,White,Not Hispanic or Latino origin,Gardner,0.263695622,56,0,0,White
Bridget Riley,15,2016,British,British,Female,White,Not Hispanic or Latino origin,Gardner,0.250378847,56,0,0,White
